ACCESSION	DESCRIPTION	NUM. OF. SEQS	NUM. OF UNIQ. IDS
PF00003	7 transmembrane sweet-taste receptor of 3 GCPR	4789	4737
PF00029	Connexin	1506	1390
PF00032	Cytochrome b(C-terminal)/b6/petD	2070	2050
PF00033	Cytochrome b/b6/petB	2199	2194
PF00060	Ligand-gated ion channel	4795	4633
PF00064	Neuraminidase	6	6
PF00119	ATP synthase A chain	4125	4112
PF00124	Photosynthetic reaction centre protein	871	852
PF00146	NADH dehydrogenase	3809	3740
PF00223	Photosystem I psaA/psaB protein	605	533
PF00267	Gram-negative porin	407	407
PF00283	Cytochrome b559, alpha (gene psbE) and beta (gene psbF)subunits	347	343
PF00287	Sodium / potassium ATPase beta chain	838	789
PF00421	Photosystem II protein	796	696
PF00423	Haemagglutinin-neuraminidase	7	7
PF00429	ENV polyprotein (coat polyprotein)	186	178
PF00430	ATP synthase B/B' CF(0)	4617	4615
PF00494	Squalene/phytoene synthase	4660	4626
PF00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6	3089	3088
PF00504	Chlorophyll A-B binding protein	2950	2877
PF00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3	2964	2961
PF00509	Haemagglutinin	7	7
PF00510	Cytochrome c oxidase subunit III	4888	4586
PF00517	Retroviral envelope protein	39	39
PF00523	Fusion glycoprotein F0	10	10
PF00529	HlyD membrane-fusion protein of T1SS	1155	1155
PF00556	Antenna complex alpha/beta subunit	482	482
PF00558	Vpu protein	5	5
PF00584	SecE/Sec61-gamma subunits of protein translocation complex	4800	4800
PF00599	Influenza Matrix protein (M2)	2	2
PF00737	Photosystem II 10 kDa phosphoprotein	186	186
PF00746	LPXTG cell wall anchor motif	2335	2333
PF00771	FHIPEP family	2381	2346
PF00796	Photosystem I reaction centre subunit VIII	116	116
PF00798	Arenavirus glycoprotein	3	3
PF00822	PMP-22/EMP/MP20/Claudin family	2574	2534
PF00837	Iodothyronine deiodinase	373	342
PF00858	Amiloride-sensitive sodium channel	3478	3093
PF00864	ATP P2X receptor	714	588
PF00869	Flavivirus glycoprotein, central and dimerisation domains	4	4
PF00876	Innexin	831	743
PF00878	Cation-independent mannose-6-phosphate receptor repeat	1479	207
PF00893	Small Multidrug Resistance protein	4931	4930
PF00902	Sec-independent protein translocase protein (TatC)	3466	3425
PF00939	Sodium:sulfate symporter transmembrane region	4341	4239
PF00943	Alphavirus E2 glycoprotein	3	3
PF00948	Flavivirus non-structural Protein NS1	3	3
PF00955	HCO3- transporter family	3646	2163
PF00957	Synaptobrevin	3951	3934
PF00974	Rhabdovirus spike glycoprotein	16	15
PF01001	Hepatitis C virus non-structural protein NS4b	2	2
PF01002	Flavivirus non-structural protein NS2B	3	3
PF01003	Flavivirus capsid protein C	3	3
PF01004	Flavivirus envelope glycoprotein M	4	4
PF01005	Flavivirus non-structural protein NS2A	3	3
PF01006	Hepatitis C virus non-structural protein NS4a	3	3
PF01007	Inward rectifier potassium channel	1868	1742
PF01034	Syndecan domain	585	585
PF01036	Bacteriorhodopsin-like protein	869	857
PF01059	NADH-ubiquinone oxidoreductase chain 4, amino terminus	753	753
PF01062	Bestrophin, RFP-TM, chloride channel	3900	3400
PF01080	Presenilin	780	596
PF01105	emp24/gp25L/p24 family/GOLD	3876	3836
PF01124	MAPEG family	3715	3701
PF01127	Succinate dehydrogenase/Fumarate reductase transmembrane subunit	4851	4837
PF01130	CD36 family	1464	1308
PF01219	Prokaryotic diacylglycerol kinase	2481	2481
PF01222	Ergosterol biosynthesis ERG4/ERG24 family	1557	1484
PF01226	Formate/nitrite transporter	2489	2477
PF01241	Photosystem I psaG / psaK	289	289
PF01252	Signal peptidase (SPase) II	4178	4177
PF01275	Myelin proteolipid protein (PLP or lipophilin)	433	420
PF01278	Omptin family	119	117
PF01284	Membrane-associating domain	2927	2819
PF01299	Lysosome-associated membrane glycoprotein (Lamp)	545	516
PF01312	FlhB HrpN YscU SpaS Family	3318	3317
PF01333	Apocytochrome F, C-terminal	208	208
PF01349	Flavivirus non-structural protein NS4B	3	3
PF01350	Flavivirus non-structural protein NS4A	3	3
PF01389	OmpA-like transmembrane domain	399	398
PF01405	Photosystem II reaction centre T protein	129	129
PF01496	V-type ATPase 116kDa subunit family	3267	2491
PF01534	Frizzled/Smoothened family membrane region	1487	1370
PF01538	Hepatitis C virus non-structural protein NS2	2	2
PF01539	Hepatitis C virus envelope glycoprotein E1	1	1
PF01542	Hepatitis C virus core protein	1	1
PF01560	Hepatitis C virus non-structural protein E2/NS1	1	1
PF01561	Hantavirus glycoprotein G2	1	1
PF01566	Natural resistance-associated macrophage protein	5083	4819
PF01567	Hantavirus glycoprotein G1	1	1
PF01589	Alphavirus E1 glycoprotein	3	3
PF01601	Coronavirus S2 glycoprotein	6	6
PF01635	Coronavirus M matrix/glycoprotein	8	8
PF01658	Myo-inositol-1-phosphate synthase	1772	1768
